Episode,Total Reward
1,-0.6589843034744263
2,-0.6403512358665466
3,-0.6860707402229309
4,-0.48328912258148193
5,-0.3339644968509674
6,-0.4192317724227905
7,-0.805540144443512
8,-0.31160274147987366
9,-0.6296776533126831
10,-0.4669993817806244
11,-0.44712886214256287
12,-0.7615758180618286
13,-0.6714591383934021
14,-0.7492507100105286
15,-0.6977764964103699
16,-0.8932172656059265
17,-0.6307424902915955
18,-0.7709454298019409
19,-0.8132579326629639
20,-0.8184839487075806
21,-0.9200891256332397
22,-1.0700286626815796
23,-1.1159656047821045
24,-1.3251043558120728
25,-1.0569032430648804
26,-1.2477957010269165
27,-1.481813907623291
28,-1.4512063264846802
29,-1.511908769607544
30,-1.570200800895691
31,-1.087404727935791
32,-1.271834135055542
33,-1.1009758710861206
34,-0.9451906085014343
35,-1.02653169631958
36,-0.9720261693000793
37,-0.8499877452850342
38,-0.873185932636261
39,-0.8765615224838257
40,-0.9799852967262268
41,-0.4107276499271393
42,-0.3695547878742218
43,-0.5907793641090393
44,-0.5951207280158997
45,-0.7604195475578308
46,-0.6290042996406555
47,-0.3384162187576294
48,-0.5095630288124084
49,-0.7098979353904724
50,-0.4125537872314453
51,-0.6295308470726013
52,-0.6371777057647705
53,-0.8789027333259583
54,-0.7764796018600464
55,-0.8075924515724182
56,-0.5989428162574768
57,-0.827919602394104
58,-0.7809898257255554
59,-1.017392635345459
60,-0.7790409922599792
61,-1.1798017024993896
62,-0.8687569499015808
63,-1.0448499917984009
64,-0.9422436952590942
65,-1.0914090871810913
66,-1.0268765687942505
67,-0.9923670887947083
68,-1.1814364194869995
69,-1.2618120908737183
70,-1.006643295288086
71,-1.2544022798538208
72,-0.8887550830841064
73,-1.2023981809616089
74,-1.2207260131835938
75,-0.9289024472236633
76,-0.8013165593147278
77,-0.9402295351028442
78,-0.8893078565597534
79,-0.9947360754013062
80,-1.0554707050323486
81,-0.5178550481796265
82,-0.39869970083236694
83,-0.5138846635818481
84,-0.4321562945842743
